TSH_CODE,TSH_STAG_DATE,TSH_TRX_STAG,TSH_TST_CODE,TRANSACTION_STAGE_LABEL,ROWID
"57,580",2020-12-20 22:50:13.006,00,"58,040",,AAAW1ZAAFAABcrEABB
"57,584",2020-12-20 22:50:14.125,00,"58,046",,AAAW1ZAAFAABcrEABC
"57,585",2020-12-20 22:50:13.813,00,"58,041",,AAAW1ZAAFAABcrEABD
"57,586",2020-12-20 22:50:13.863,00,"58,045",,AAAW1ZAAFAABcrEABE
"57,604",2020-12-20 22:50:17.382,00,"58,065",,AAAW1ZAAFAABcrEABF
"57,608",2020-12-20 22:50:17.629,00,"58,068",,AAAW1ZAAFAABcrEABG
"57,613",2020-12-20 22:50:19.113,00,"58,071",,AAAW1ZAAFAABcrEABH
"57,614",2020-12-20 22:50:18.972,00,"58,072",,AAAW1ZAAFAABcrEABI
"57,625",2020-12-20 22:50:20.812,00,"58,085",,AAAW1ZAAFAABcrEABJ
"57,632",2020-12-20 22:50:21.833,00,"58,093",,AAAW1ZAAFAABcrEABK
"57,634",2020-12-20 22:50:22.45,00,"58,092",,AAAW1ZAAFAABcrEABL
"57,635",2020-12-20 22:50:23.1,00,"58,095",,AAAW1ZAAFAABcrEABM
"57,636",2020-12-20 22:50:23.173,00,"58,096",,AAAW1ZAAFAABcrEABN
"57,637",2020-12-20 22:50:23.598,00,"58,097",,AAAW1ZAAFAABcrEABO
"57,639",2020-12-20 22:50:23.468,00,"58,100",,AAAW1ZAAFAABcrEABP
"57,640",2020-12-20 22:50:23.698,00,"58,098",,AAAW1ZAAFAABcrEABQ
"57,644",2020-12-20 22:50:23.947,00,"58,106",,AAAW1ZAAFAABcrEABR
"57,676",2020-12-20 22:50:29.473,00,"58,134",,AAAW1ZAAFAABcrEABS
"57,678",2020-12-20 22:50:29.626,00,"58,140",,AAAW1ZAAFAABcrEABT
"57,680",2020-12-20 22:50:29.627,00,"58,139",,AAAW1ZAAFAABcrEABU
"57,681",2020-12-20 22:50:29.715,00,"58,141",,AAAW1ZAAFAABcrEABV
"57,682",2020-12-20 22:50:30.668,00,"58,143",,AAAW1ZAAFAABcrEABW
"57,685",2020-12-20 22:50:30.779,00,"58,144",,AAAW1ZAAFAABcrEABX
"57,696",2020-12-20 22:50:32.759,00,"58,157",,AAAW1ZAAFAABcrEABY
"57,697",2020-12-20 22:50:33.271,00,"58,156",,AAAW1ZAAFAABcrEABZ
"57,699",2020-12-20 22:50:33.28,00,"58,159",,AAAW1ZAAFAABcrEABa
"57,704",2020-12-20 22:50:33.702,00,"58,164",,AAAW1ZAAFAABcrEABb
"57,706",2020-12-20 22:50:35.163,00,"58,167",,AAAW1ZAAFAABcrEABc
"57,711",2020-12-20 22:50:35.729,00,"58,172",,AAAW1ZAAFAABcrEABd
"57,715",2020-12-20 22:50:35.953,00,"58,174",,AAAW1ZAAFAABcrEABe
"57,721",2020-12-20 22:50:37.945,00,"58,181",,AAAW1ZAAFAABcrEABf
"57,725",2020-12-20 22:50:38.105,00,"58,183",,AAAW1ZAAFAABcrEABg
"57,728",2020-12-20 22:50:38.627,00,"58,190",,AAAW1ZAAFAABcrEABh
"57,734",2020-12-20 22:50:39.655,00,"58,195",,AAAW1ZAAFAABcrEABi
"57,751",2020-12-20 22:50:42.685,00,"58,212",,AAAW1ZAAFAABcrEABj
"57,757",2020-12-20 22:50:44.005,00,"58,218",,AAAW1ZAAFAABcrEABk
"57,770",2020-12-20 22:50:45.368,00,"58,229",,AAAW1ZAAFAABcrEABl
"57,773",2020-12-20 22:50:46.495,00,"58,233",,AAAW1ZAAFAABcrEABm
"57,778",2020-12-20 22:50:47.107,00,"58,238",,AAAW1ZAAFAABcrEABn
"57,782",2020-12-20 22:50:47.963,00,"58,240",,AAAW1ZAAFAABcrEABo
"57,786",2020-12-20 22:50:47.979,00,"58,246",,AAAW1ZAAFAABcrEABp
"57,794",2020-12-20 22:50:49.534,00,"58,254",,AAAW1ZAAFAABcrEABq
"57,802",2020-12-20 22:50:51.17,00,"58,260",,AAAW1ZAAFAABcrEABr
"57,804",2020-12-20 22:50:52.045,00,"58,264",,AAAW1ZAAFAABcrEABs
"57,811",2020-12-20 22:50:52.522,00,"58,274",,AAAW1ZAAFAABcrEABt
"57,815",2020-12-20 22:50:52.733,00,"58,275",,AAAW1ZAAFAABcrEABu
"57,817",2020-12-20 22:50:52.89,00,"58,277",,AAAW1ZAAFAABcrEABv
"57,825",2020-12-20 22:50:54.344,00,"58,280",,AAAW1ZAAFAABcrEABw
"57,827",2020-12-20 22:50:54.68,00,"58,287",,AAAW1ZAAFAABcrEABx
"57,836",2020-12-20 22:50:56.359,00,"58,296",,AAAW1ZAAFAABcrEABy
"57,837",2020-12-20 22:50:56.311,00,"58,299",,AAAW1ZAAFAABcrEABz
"57,838",2020-12-20 22:50:56.484,00,"58,298",,AAAW1ZAAFAABcrEAB0
"57,840",2020-12-20 22:50:57.457,00,"58,295",,AAAW1ZAAFAABcrEAB1
"57,843",2020-12-20 22:50:57.42,00,"58,303",,AAAW1ZAAFAABcrEAB2
"57,844",2020-12-20 22:50:57.928,00,"58,304",,AAAW1ZAAFAABcrEAB3
"57,845",2020-12-20 22:50:58.505,00,"58,305",,AAAW1ZAAFAABcrEAB4
"57,860",2020-12-20 22:51:00.698,00,"58,321",,AAAW1ZAAFAABcrEAB5
"57,867",2020-12-20 22:51:01.947,00,"58,327",,AAAW1ZAAFAABcrEAB6
"57,869",2020-12-20 22:51:02.449,00,"58,329",,AAAW1ZAAFAABcrEAB7
"57,880",2020-12-20 22:51:04.068,00,"58,340",,AAAW1ZAAFAABcrEAB8
"57,888",2020-12-20 22:51:05.576,00,"58,346",,AAAW1ZAAFAABcrEAB9
"57,894",2020-12-20 22:51:06.307,00,"58,354",,AAAW1ZAAFAABcrEAB+
"57,901",2020-12-20 22:51:07.532,00,"58,359",,AAAW1ZAAFAABcrEAB/
"57,905",2020-12-20 22:51:08.246,00,"58,363",,AAAW1ZAAFAABcrEACA
"57,907",2020-12-20 22:51:08.476,00,"58,366",,AAAW1ZAAFAABcrEACB
"57,909",2020-12-20 22:51:08.758,00,"58,369",,AAAW1ZAAFAABcrEACC
"57,911",2020-12-20 22:51:09.243,00,"58,371",,AAAW1ZAAFAABcrEACD
"57,916",2020-12-20 22:51:10.306,00,"58,377",,AAAW1ZAAFAABcrEACE
"57,928",2020-12-20 22:51:11.279,00,"58,387",,AAAW1ZAAFAABcrEACF
"57,929",2020-12-20 22:51:11.75,00,"58,389",,AAAW1ZAAFAABcrEACG
"57,931",2020-12-20 22:51:12.124,00,"58,392",,AAAW1ZAAFAABcrEACH
"57,932",2020-12-20 22:51:12.844,00,"58,391",,AAAW1ZAAFAABcrEACI
"57,933",2020-12-20 22:51:12.861,00,"58,393",,AAAW1ZAAFAABcrEACJ
"57,946",2020-12-20 22:51:15.399,00,"58,406",,AAAW1ZAAFAABcrEACK
"57,951",2020-12-20 22:51:15.817,00,"58,410",,AAAW1ZAAFAABcrEACL
"57,954",2020-12-20 22:51:16.704,00,"58,414",,AAAW1ZAAFAABcrEACM
"57,960",2020-12-20 22:51:17.016,00,"58,420",,AAAW1ZAAFAABcrEACN
"57,965",2020-12-20 22:51:19.018,00,"58,424",,AAAW1ZAAFAABcrEACO
"57,969",2020-12-20 22:51:18.905,00,"58,427",,AAAW1ZAAFAABcrEACP
"57,972",2020-12-20 22:51:19.38,00,"58,431",,AAAW1ZAAFAABcrEACQ
"57,976",2020-12-20 22:51:20.878,00,"58,437",,AAAW1ZAAFAABcrEACR
"57,980",2020-12-20 22:51:21.417,00,"58,441",,AAAW1ZAAFAABcrEACS
"57,990",2020-12-20 22:51:24.118,00,"58,449",,AAAW1ZAAFAABcrEACT
"58,002",2020-12-20 22:51:26.446,00,"58,463",,AAAW1ZAAFAABcrEACU
"58,005",2020-12-20 22:51:26.857,00,"58,466",,AAAW1ZAAFAABcrEACV
"58,010",2020-12-20 22:51:26.584,00,"58,470",,AAAW1ZAAFAABcrEACW
"58,019",2020-12-20 22:51:30.509,00,"58,480",,AAAW1ZAAFAABcrEACX
"58,020",2020-12-20 22:51:30.883,00,"58,476",,AAAW1ZAAFAABcrEACY
"58,032",2020-12-20 22:51:30.681,00,"58,491",,AAAW1ZAAFAABcrEACZ
"58,036",2020-12-20 22:51:31.808,00,"58,496",,AAAW1ZAAFAABcrEACa
"58,054",2020-12-20 22:51:36.172,00,"58,513",,AAAW1ZAAFAABcrEACb
"58,056",2020-12-20 22:51:37.747,00,"58,518",,AAAW1ZAAFAABcrEACc
"58,063",2020-12-20 22:51:38.707,00,"58,524",,AAAW1ZAAFAABcrEACd
"58,069",2020-12-20 22:51:40.423,00,"58,529",,AAAW1ZAAFAABcrEACe
"58,081",2020-12-20 22:51:42.686,00,"58,541",,AAAW1ZAAFAABcrEACf
"58,084",2020-12-20 22:51:43.192,00,"58,544",,AAAW1ZAAFAABcrEACg
"58,086",2020-12-20 22:51:43.666,00,"58,545",,AAAW1ZAAFAABcrEACh
"58,096",2020-12-20 22:51:45.322,00,"58,556",,AAAW1ZAAFAABcrEACi
"58,101",2020-12-20 22:51:46.131,00,"58,561",,AAAW1ZAAFAABcrEACj
"58,114",2020-12-20 22:51:49.243,00,"58,574",,AAAW1ZAAFAABcrEACk
"58,117",2020-12-20 22:51:49.43,00,"58,578",,AAAW1ZAAFAABcrEACl
"58,120",2020-12-20 22:51:48.618,00,"58,577",,AAAW1ZAAFAABcrEACm
"58,125",2020-12-20 22:51:50.233,00,"58,584",,AAAW1ZAAFAABcrEACn
"58,126",2020-12-20 22:51:50.634,00,"58,588",,AAAW1ZAAFAABcrEACo
"58,132",2020-12-20 22:51:52.43,00,"58,591",,AAAW1ZAAFAABcrEACp
"58,138",2020-12-20 22:51:52.522,00,"58,593",,AAAW1ZAAFAABcrEACq
"58,143",2020-12-20 22:51:55.142,00,"58,605",,AAAW1ZAAFAABcrEACr
"58,152",2020-12-20 22:51:55.28,00,"58,612",,AAAW1ZAAFAABcrEACs
"58,154",2020-12-20 22:51:55.308,00,"58,610",,AAAW1ZAAFAABcrEACt
"58,158",2020-12-20 22:51:56.886,00,"58,618",,AAAW1ZAAFAABcrEACu
"58,162",2020-12-20 22:51:58.215,00,"58,622",,AAAW1ZAAFAABcrEACv
"58,166",2020-12-20 22:51:58.826,00,"58,626",,AAAW1ZAAFAABcrEACw
"58,172",2020-12-20 22:52:00.402,00,"58,633",,AAAW1ZAAFAABcrEACx
"58,175",2020-12-20 22:52:00.905,00,"58,631",,AAAW1ZAAFAABcrEACy
"58,177",2020-12-20 22:52:00.667,00,"58,639",,AAAW1ZAAFAABcrEACz
"58,192",2020-12-20 22:52:04.886,00,"58,655",,AAAW1ZAAFAABcrEAC0
"58,198",2020-12-20 22:52:05.22,00,"58,662",,AAAW1ZAAFAABcrEAC1
"58,201",2020-12-20 22:52:05.503,00,"58,659",,AAAW1ZAAFAABcrEAC2
"58,219",2020-12-20 22:52:10.044,00,"58,678",,AAAW1ZAAFAABcrEAC3
"58,222",2020-12-20 22:52:10.751,00,"58,682",,AAAW1ZAAFAABcrEAC4
"58,224",2020-12-20 22:52:11.182,00,"58,684",,AAAW1ZAAFAABcrEAC5
"58,228",2020-12-20 22:52:11.813,00,"58,688",,AAAW1ZAAFAABcrEAC6
"58,229",2020-12-20 22:52:11.617,00,"58,695",,AAAW1ZAAFAABcrEAC7
"58,230",2020-12-20 22:52:12.051,00,"58,698",,AAAW1ZAAFAABcrEAC8
"58,245",2020-12-20 22:52:14.283,00,"58,704",,AAAW1ZAAFAABcrEAC9
"58,253",2020-12-20 22:52:15.367,00,"58,713",,AAAW1ZAAFAABcrEAC+
"58,255",2020-12-20 22:52:16.482,00,"58,716",,AAAW1ZAAFAABcrEAC/
"58,264",2020-12-20 22:52:17.403,00,"58,721",,AAAW1ZAAFAABcrEADA
"58,275",2020-12-20 22:52:29.508,00,"58,736",,AAAW1ZAAFAABcrEADB
"58,286",2020-12-20 22:52:32.417,00,"58,746",,AAAW1ZAAFAABcrEADC
"58,288",2020-12-20 22:52:32.696,00,"58,751",,AAAW1ZAAFAABcrEADD
"58,290",2020-12-20 22:52:32.921,00,"58,749",,AAAW1ZAAFAABcrEADE
