TEM_CODE,TEM_DATE_TIME,TEM_ACS_TRX_ID,TEM_DS_TRX_ID,TEM_ERRR_CMPN,TEM_ERRR_CODE,TEM_ERRR_DSCR,TEM_ERRR_DTLS,TEM_ERRR_MSSG_TYPE,TEM_MSSG_VRSN_NMBR,TEM_SDK_TRX_ID,TEM_TDS_SRVR_TRX_ID,TEM_3ST_CODE,TEM_CRT_CODE,ROWID
"2,613",2020-06-07 22:38:18.963,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,2d3bf2d9-a907-11ea-9f83-870c6ada67bf,,,AAAW1bAAFAABco2AAF
"2,614",2020-06-07 22:38:31.148,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,3a8aee5a-a907-11ea-9f83-d3b4856bbea4,,,AAAW1bAAFAABco2AAG
"2,615",2020-06-07 22:43:54.165,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,f5067e7f-a907-11ea-9f83-45d6eafa5fde,,,AAAW1bAAFAABco2AAH
"2,654",2020-06-07 22:58:07.107,54ab5507-244b-4108-8c53-5632d7850a0e,,S,101,Message not recognized,Invalid Message Type,,2.1.0,,f60cdf60-a909-11ea-9f83-5f5181403c2e,,,AAAW1bAAFAABco2AAI
"2,655",2020-06-07 22:58:07.205,439d0ab2-882c-4bd9-bf63-39f06733c2f8,,S,101,Message not recognized,Invalid Message Type,,2.1.0,,f614f5b2-a909-11ea-9f83-8789cb3611c0,,,AAAW1bAAFAABco2AAJ
"2,656",2020-06-07 22:58:30.853,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,057ce627-a90a-11ea-9f83-394916255bed,,,AAAW1bAAFAABco2AAK
"2,657",2020-06-07 22:58:30.886,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,05787956-a90a-11ea-9f83-add614c3a8fd,,,AAAW1bAAFAABco2AAL
"2,658",2020-06-07 22:58:30.976,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,05801a78-a90a-11ea-9f83-a39c4d29ae6d,,,AAAW1bAAFAABco2AAM
"2,660",2020-06-07 22:58:33.351,1e88763d-2689-423d-9477-8815db950c41,,S,101,Message not recognized,Invalid Message Type,,2.1.0,,05808fa9-a90a-11ea-9f83-015eb0d39615,,,AAAW1bAAFAABco2AAN
"2,662",2020-06-07 22:58:33.865,,,S,101,Message not recognized,Invalid Message Type,,2.1.0,,,,,AAAW1bAAFAABco2AAO
"2,663",2020-06-09 17:33:04.649,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,e17c378c-aa6e-11ea-bb71-a56fcaccdbb8,,,AAAW1bAAFAABco2AAP
"2,664",2020-06-09 17:35:48.097,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,43f78d1d-aa6f-11ea-bb71-019c0ec607b8,,,AAAW1bAAFAABco2AAQ
"2,665",2020-06-16 17:32:27.24,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,eeb46bf9-afee-11ea-bb71-499e065bd527,,,AAAW1bAAFAABco2AAR
"2,666",2020-06-16 17:50:13.057,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,65d3cdfa-aff1-11ea-bb71-c7fab331c5fb,,,AAAW1bAAFAABco2AAS
